mode,planning_steps,threshold,inner_steps,mean,std
reward,0,2.0,0,,
reward,0,2.0,1,,
reward,0,2.0,2,,
reward,0,2.0,5,,
reward,0,1.5,0,,
reward,0,1.5,1,,
reward,0,1.5,2,,
reward,0,1.5,5,,
reward,0,1.0,0,,
reward,0,1.0,1,,
reward,0,1.0,2,,
reward,0,1.0,5,,
reward,1,2.0,0,,
reward,1,2.0,1,87.0,7.788880963698615
reward,1,2.0,2,87.0,7.788880963698615
reward,1,2.0,5,86.66666666666667,7.542472332656507
reward,1,1.5,0,,
reward,1,1.5,1,91.66666666666667,2.6246692913372702
reward,1,1.5,2,91.66666666666667,2.6246692913372702
reward,1,1.5,5,92.0,2.943920288775949
reward,1,1.0,0,,
reward,1,1.0,1,,
reward,1,1.0,2,,
reward,1,1.0,5,,
reward,2,2.0,0,,
reward,2,2.0,1,89.33333333333333,3.39934634239519
reward,2,2.0,2,,
reward,2,2.0,5,,
reward,2,1.5,0,,
reward,2,1.5,1,,
reward,2,1.5,2,,
reward,2,1.5,5,,
reward,2,1.0,0,,
reward,2,1.0,1,,
reward,2,1.0,2,,
reward,2,1.0,5,,
reward,5,2.0,0,,
reward,5,2.0,1,90.33333333333333,4.496912521077347
reward,5,2.0,2,90.66666666666667,4.0276819911981905
reward,5,2.0,5,90.66666666666667,4.784233364802441
reward,5,1.5,0,,
reward,5,1.5,1,,
reward,5,1.5,2,,
reward,5,1.5,5,,
reward,5,1.0,0,,
reward,5,1.0,1,,
reward,5,1.0,2,,
reward,5,1.0,5,,
reward,10,2.0,0,,
reward,10,2.0,1,91.33333333333333,1.699673171197595
reward,10,2.0,2,91.0,2.160246899469287
reward,10,2.0,5,91.33333333333333,1.699673171197595
reward,10,1.5,0,,
reward,10,1.5,1,,
reward,10,1.5,2,,
reward,10,1.5,5,,
reward,10,1.0,0,,
reward,10,1.0,1,,
reward,10,1.0,2,,
reward,10,1.0,5,,
reward,15,2.0,0,,
reward,15,2.0,1,,
reward,15,2.0,2,,
reward,15,2.0,5,,
reward,15,1.5,0,,
reward,15,1.5,1,,
reward,15,1.5,2,,
reward,15,1.5,5,,
reward,15,1.0,0,,
reward,15,1.0,1,,
reward,15,1.0,2,,
reward,15,1.0,5,,
reward,20,2.0,0,,
reward,20,2.0,1,,
reward,20,2.0,2,,
reward,20,2.0,5,,
reward,20,1.5,0,,
reward,20,1.5,1,,
reward,20,1.5,2,,
reward,20,1.5,5,,
reward,20,1.0,0,,
reward,20,1.0,1,,
reward,20,1.0,2,,
reward,20,1.0,5,,
value,0,2.0,0,,
value,0,2.0,1,,
value,0,2.0,2,,
value,0,2.0,5,,
value,0,1.5,0,87.0,5.656854249492381
value,0,1.5,1,,
value,0,1.5,2,,
value,0,1.5,5,,
value,0,1.0,0,,
value,0,1.0,1,,
value,0,1.0,2,,
value,0,1.0,5,,
value,1,2.0,0,,
value,1,2.0,1,89.66666666666667,3.39934634239519
value,1,2.0,2,89.0,2.943920288775949
value,1,2.0,5,89.0,3.7416573867739413
value,1,1.5,0,,
value,1,1.5,1,94.0,2.160246899469287
value,1,1.5,2,93.66666666666667,2.6246692913372702
value,1,1.5,5,94.0,2.8284271247461903
value,1,1.0,0,,
value,1,1.0,1,,
value,1,1.0,2,,
value,1,1.0,5,,
value,2,2.0,0,,
value,2,2.0,1,89.0,4.320493798938574
value,2,2.0,2,,
value,2,2.0,5,,
value,2,1.5,0,,
value,2,1.5,1,,
value,2,1.5,2,,
value,2,1.5,5,,
value,2,1.0,0,,
value,2,1.0,1,,
value,2,1.0,2,,
value,2,1.0,5,,
value,5,2.0,0,,
value,5,2.0,1,87.33333333333333,2.6246692913372702
value,5,2.0,2,87.0,2.8284271247461903
value,5,2.0,5,87.33333333333333,2.6246692913372702
value,5,1.5,0,,
value,5,1.5,1,,
value,5,1.5,2,,
value,5,1.5,5,,
value,5,1.0,0,,
value,5,1.0,1,,
value,5,1.0,2,,
value,5,1.0,5,,
value,10,2.0,0,,
value,10,2.0,1,90.66666666666667,3.858612300930075
value,10,2.0,2,90.66666666666667,3.0912061651652345
value,10,2.0,5,91.0,3.559026084010437
value,10,1.5,0,,
value,10,1.5,1,,
value,10,1.5,2,,
value,10,1.5,5,,
value,10,1.0,0,,
value,10,1.0,1,,
value,10,1.0,2,,
value,10,1.0,5,,
value,15,2.0,0,,
value,15,2.0,1,87.33333333333333,9.177266598624136
value,15,2.0,2,,
value,15,2.0,5,,
value,15,1.5,0,,
value,15,1.5,1,,
value,15,1.5,2,,
value,15,1.5,5,,
value,15,1.0,0,,
value,15,1.0,1,,
value,15,1.0,2,,
value,15,1.0,5,,
value,20,2.0,0,,
value,20,2.0,1,,
value,20,2.0,2,,
value,20,2.0,5,,
value,20,1.5,0,,
value,20,1.5,1,,
value,20,1.5,2,,
value,20,1.5,5,,
value,20,1.0,0,,
value,20,1.0,1,,
value,20,1.0,2,,
value,20,1.0,5,,
